status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
...<0 DM,24,Existing Credits,radio/television,1987,... < 100 DM,4,2,male:single,none,4,real estate,21,none,rent,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,8,Existing Credits,radio/television,760,... < 100 DM,7,4,female:divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled-resident,1,none,yes
no checking account,24,Existing Credits,used car,2603,.. >= 1000 DM,4,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,yes,yes
no checking account,4,Critical,new car,3380,... < 100 DM,7,1,female:divorced/separated/married,none,1,real estate,37,none,own,1,skilled employee/official,2,none,yes
0 <= ...<200 DM,36,Paid Credits,domestic appliances,3990,unknown/ no savings account,1,3,female:divorced/separated/married,none,2,no property,29,bank,own,1,unemployed/unskilled-non resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,used car,11560,... < 100 DM,4,1,female:divorced/separated/married,none,4,car or other,23,none,rent,2,highly skilled,1,none,yes
...<0 DM,18,Existing Credits,new car,4380,100 <= ... < 500 DM,4,3,male:single,none,4,car or other,35,none,own,1,unskilled-resident,2,yes,yes
no checking account,6,Critical,new car,6761,... < 100 DM,7,1,male:single,none,3,no property,45,none,own,2,highly skilled,2,yes,yes
0 <= ...<200 DM,30,No Credits,business,4280,100 <= ... < 500 DM,4,4,female:divorced/separated/married,none,4,car or other,26,none,rent,2,unskilled-resident,1,none,yes
...<0 DM,24,Paid Credits,new car,2325,100 <= ... < 500 DM,7,2,male:single,none,3,car or other,32,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,10,Paid Credits,radio/television,1048,... < 100 DM,4,4,male:single,none,4,real estate,23,store,own,1,unskilled-resident,1,none,yes
no checking account,21,Existing Credits,radio/television,3160,unknown/ no savings account,7+,4,male:single,none,3,life insurance,41,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Paid Credits,furniture/equipment,2483,500 <= ... < 1000 DM,4,4,male:single,none,4,real estate,22,store,own,1,skilled employee/official,1,yes,yes
...<0 DM,39,Critical,furniture/equipment,14179,unknown/ no savings account,7,4,male:single,none,4,life insurance,30,none,own,2,highly skilled,1,yes,yes
...<0 DM,13,Critical,business,1797,... < 100 DM,1,3,male:single,none,1,life insurance,28,bank,own,2,unskilled-resident,1,none,yes
...<0 DM,15,Existing Credits,new car,2511,... < 100 DM,unemployed,1,female:divorced/separated/married,none,4,car or other,23,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,new car,1274,... < 100 DM,1,3,female:divorced/separated/married,none,1,real estate,37,none,own,1,unskilled-resident,1,none,yes
no checking account,21,Existing Credits,used car,5248,unknown/ no savings account,4,1,male:single,none,3,car or other,26,none,own,1,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,used car,3029,... < 100 DM,7,2,male:single,none,2,car or other,33,none,own,1,skilled employee/official,1,none,yes
...<0 DM,6,Existing Credits,furniture/equipment,428,... < 100 DM,7+,2,female:divorced/separated/married,none,1,life insurance,49,bank,own,1,skilled employee/official,1,yes,yes
...<0 DM,18,Existing Credits,new car,976,... < 100 DM,1,1,female:divorced/separated/married,none,2,car or other,23,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,12,Existing Credits,business,841,100 <= ... < 500 DM,7,2,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,none,yes
no checking account,30,Critical,radio/television,5771,... < 100 DM,7,4,female:divorced/separated/married,none,2,car or other,25,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Delay in Past,repairs,1555,.. >= 1000 DM,7+,4,male:single,none,4,no property,55,none,free,2,skilled employee/official,2,none,yes
...<0 DM,24,Existing Credits,new car,1285,unknown/ no savings account,7,4,female:divorced/separated/married,none,4,no property,32,none,rent,1,skilled employee/official,1,none,yes
... >= 200 DM ,6,Critical,new car,1299,... < 100 DM,4,1,male:single,none,1,real estate,74,none,own,3,unemployed/unskilled-non resident,2,none,no
... >= 200 DM ,15,Critical,radio/television,1271,unknown/ no savings account,4,3,male:single,none,4,no property,39,none,free,2,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,new car,1393,... < 100 DM,4,2,male:single,guarantor,2,real estate,31,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,12,Critical,new car,691,... < 100 DM,7+,4,male:single,none,3,life insurance,35,none,own,2,skilled employee/official,1,none,yes
no checking account,15,Critical,new car,5045,unknown/ no savings account,7+,1,female:divorced/separated/married,none,4,car or other,59,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,18,Critical,furniture/equipment,2124,... < 100 DM,4,4,female:divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,radio/television,2214,... < 100 DM,4,4,male:single,none,3,life insurance,24,none,own,1,unskilled-resident,1,none,yes
no checking account,21,Critical,new car,12680,unknown/ no savings account,7+,4,male:single,none,4,no property,30,none,free,1,highly skilled,1,yes,yes
no checking account,24,Critical,new car,2463,100 <= ... < 500 DM,7,4,male:married/widowed,none,3,life insurance,27,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1155,... < 100 DM,7+,3,male:married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled-resident,1,none,yes
...<0 DM,30,Existing Credits,furniture/equipment,3108,... < 100 DM,1,2,male:divorced/separated,none,4,life insurance,31,none,own,1,unskilled-resident,1,none,yes
no checking account,10,Existing Credits,used car,2901,unknown/ no savings account,1,1,female:divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Critical,furniture/equipment,3617,... < 100 DM,7+,1,male:single,none,4,car or other,28,none,rent,3,skilled employee/official,1,yes,yes
no checking account,12,Critical,radio/television,1655,... < 100 DM,7+,2,male:single,none,4,real estate,63,none,own,2,unskilled-resident,1,yes,yes
...<0 DM,24,Existing Credits,used car,2812,unknown/ no savings account,7+,2,female:divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,36,Critical,education,8065,... < 100 DM,4,3,female:divorced/separated/married,none,2,no property,25,none,own,2,highly skilled,1,yes,yes
no checking account,21,Critical,used car,3275,... < 100 DM,7+,1,male:single,none,4,car or other,36,none,own,1,highly skilled,1,yes,yes
no checking account,24,Critical,radio/television,2223,100 <= ... < 500 DM,7+,4,male:single,none,4,life insurance,52,bank,own,2,skilled employee/official,1,none,yes
... >= 200 DM ,12,Critical,new car,1480,500 <= ... < 1000 DM,unemployed,2,male:single,none,4,no property,66,bank,free,3,unemployed/unskilled-non resident,1,none,yes
...<0 DM,24,Existing Credits,new car,1371,unknown/ no savings account,4,4,female:divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee/official,1,none,yes
no checking account,36,Critical,new car,3535,... < 100 DM,7,4,male:single,none,4,car or other,37,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,18,Existing Credits,radio/television,3509,... < 100 DM,7,4,female:divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee/official,1,none,yes
no checking account,36,Critical,used car,5711,.. >= 1000 DM,7+,4,male:single,none,2,car or other,38,none,own,2,highly skilled,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,repairs,3872,... < 100 DM,unemployed,2,female:divorced/separated/married,none,4,car or other,67,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,39,Critical,radio/television,4933,... < 100 DM,7,2,male:single,guarantor,2,real estate,25,none,own,2,skilled employee/official,1,none,yes
no checking account,24,Critical,new car,1940,.. >= 1000 DM,7+,4,male:single,none,4,real estate,60,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,No Credits,retraining,1410,... < 100 DM,4,2,male:single,none,2,real estate,31,none,own,1,unskilled-resident,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,new car,836,100 <= ... < 500 DM,1,4,female:divorced/separated/married,none,2,life insurance,23,bank,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,20,Existing Credits,used car,6468,unknown/ no savings account,unemployed,1,male:divorced/separated,none,4,real estate,60,none,own,1,highly skilled,1,yes,yes
0 <= ...<200 DM,18,Existing Credits,business,1941,.. >= 1000 DM,4,4,male:single,none,2,life insurance,35,none,own,1,unskilled-resident,1,yes,yes
no checking account,22,Existing Credits,radio/television,2675,500 <= ... < 1000 DM,7+,3,male:single,none,4,car or other,40,none,own,1,skilled employee/official,1,none,yes
no checking account,48,Critical,used car,2751,unknown/ no savings account,7+,4,male:single,none,3,car or other,38,none,own,2,skilled employee/official,2,yes,yes
0 <= ...<200 DM,48,Delay in Past,education,6224,... < 100 DM,7+,4,male:single,none,4,no property,50,none,free,1,skilled employee/official,1,none,yes
...<0 DM,40,Critical,education,5998,... < 100 DM,4,4,male:single,none,3,no property,27,bank,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,21,Existing Credits,business,1188,... < 100 DM,7+,2,female:divorced/separated/married,none,4,life insurance,39,none,own,1,skilled employee/official,2,none,yes
no checking account,24,Existing Credits,used car,6313,unknown/ no savings account,7+,3,male:single,none,4,car or other,41,none,own,1,highly skilled,2,yes,yes
no checking account,6,Critical,furniture/equipment,1221,unknown/ no savings account,4,1,male:married/widowed,none,2,life insurance,27,none,own,2,skilled employee/official,1,none,yes
... >= 200 DM ,24,Existing Credits,furniture/equipment,2892,... < 100 DM,7+,3,male:divorced/separated,none,4,no property,51,none,free,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,furniture/equipment,3062,500 <= ... < 1000 DM,7+,4,male:single,none,3,no property,32,none,rent,1,skilled employee/official,1,yes,yes
no checking account,9,Existing Credits,furniture/equipment,2301,100 <= ... < 500 DM,1,2,female:divorced/separated/married,none,4,life insurance,22,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,18,Existing Credits,used car,7511,unknown/ no savings account,7+,1,male:single,none,4,life insurance,51,none,free,1,skilled employee/official,2,yes,yes
no checking account,12,Critical,furniture/equipment,1258,... < 100 DM,1,2,female:divorced/separated/married,none,4,life insurance,22,none,rent,2,unskilled-resident,1,none,yes
no checking account,24,Delay in Past,new car,717,unknown/ no savings account,7+,4,male:married/widowed,none,4,car or other,54,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,9,Existing Credits,new car,1549,unknown/ no savings account,1,4,male:single,none,2,real estate,35,none,own,1,unemployed/unskilled-non resident,1,none,yes
no checking account,24,Critical,education,1597,... < 100 DM,7+,4,male:single,none,4,no property,54,none,free,2,skilled employee/official,2,none,yes
0 <= ...<200 DM,18,Critical,radio/television,1795,... < 100 DM,7+,3,female:divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled-resident,1,yes,yes
...<0 DM,20,Critical,furniture/equipment,4272,... < 100 DM,7+,1,female:divorced/separated/married,none,4,life insurance,24,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Critical,radio/television,976,unknown/ no savings account,7+,4,male:single,none,4,car or other,35,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,7472,unknown/ no savings account,unemployed,1,female:divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/unskilled-non resident,1,none,yes
...<0 DM,36,Existing Credits,new car,9271,... < 100 DM,7,2,male:single,none,1,car or other,24,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,6,Existing Credits,radio/television,590,... < 100 DM,1,3,male:married/widowed,none,3,real estate,26,none,own,1,unskilled-resident,1,none,no
no checking account,12,Critical,radio/television,930,unknown/ no savings account,7+,4,male:single,none,4,real estate,65,none,own,4,skilled employee/official,1,none,yes
0 <= ...<200 DM,42,Paid Credits,used car,9283,... < 100 DM,unemployed,1,male:single,none,2,no property,55,bank,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,15,No Credits,new car,1778,... < 100 DM,1,2,female:divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/unskilled-non resident,1,none,yes
0 <= ...<200 DM,8,Existing Credits,business,907,... < 100 DM,1,3,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,6,Existing Credits,radio/television,484,... < 100 DM,7,3,male:married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled-resident,1,none,yes
...<0 DM,36,Critical,used car,9629,... < 100 DM,7,4,male:single,none,4,car or other,24,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,48,Existing Credits,domestic appliances,3051,... < 100 DM,4,3,male:single,none,4,car or other,54,none,own,1,skilled employee/official,1,none,yes
...<0 DM,48,Existing Credits,new car,3931,... < 100 DM,7,4,male:single,none,4,no property,46,none,free,1,skilled employee/official,2,none,yes
0 <= ...<200 DM,36,Delay in Past,new car,7432,... < 100 DM,4,2,female:divorced/separated/married,none,2,life insurance,54,none,rent,1,skilled employee/official,1,none,yes
no checking account,6,Existing Credits,domestic appliances,1338,500 <= ... < 1000 DM,4,1,male:divorced/separated,none,4,real estate,62,none,own,1,skilled employee/official,1,none,yes
no checking account,6,Critical,radio/television,1554,... < 100 DM,7,1,female:divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee/official,1,yes,yes
...<0 DM,36,Existing Credits,others,15857,... < 100 DM,unemployed,2,male:divorced/separated,co-applicant,3,car or other,43,none,own,1,highly skilled,1,none,yes
...<0 DM,18,Existing Credits,radio/television,1345,... < 100 DM,4,4,male:married/widowed,none,3,real estate,26,bank,own,1,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,new car,1101,... < 100 DM,4,3,male:married/widowed,none,2,real estate,27,none,own,2,skilled employee/official,1,yes,yes
... >= 200 DM ,12,Existing Credits,radio/television,3016,... < 100 DM,4,3,male:married/widowed,none,1,car or other,24,none,own,1,skilled employee/official,1,none,yes
...<0 DM,36,Existing Credits,furniture/equipment,2712,... < 100 DM,7+,2,male:single,none,2,life insurance,41,bank,own,1,skilled employee/official,2,none,yes
...<0 DM,8,Critical,new car,731,... < 100 DM,7+,4,male:single,none,4,real estate,47,none,own,2,unskilled-resident,1,none,yes
no checking account,18,Critical,furniture/equipment,3780,... < 100 DM,1,3,male:divorced/separated,none,2,car or other,35,none,own,2,highly skilled,1,yes,yes
...<0 DM,21,Critical,new car,1602,... < 100 DM,7+,4,male:married/widowed,none,3,car or other,30,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,18,Critical,new car,3966,... < 100 DM,7+,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee/official,1,yes,yes
no checking account,18,No Credits,business,4165,... < 100 DM,4,2,male:single,none,2,car or other,36,store,own,2,skilled employee/official,2,none,yes
...<0 DM,36,Existing Credits,used car,8335,unknown/ no savings account,7+,3,male:single,none,4,no property,47,none,free,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,Delay in Past,business,6681,unknown/ no savings account,4,4,male:single,none,4,no property,38,none,free,1,skilled employee/official,2,yes,yes
no checking account,24,Delay in Past,business,2375,500 <= ... < 1000 DM,4,4,male:single,none,2,car or other,44,none,own,2,skilled employee/official,2,yes,yes
...<0 DM,18,Existing Credits,new car,1216,... < 100 DM,1,4,female:divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee/official,1,yes,yes
...<0 DM,45,No Credits,business,11816,... < 100 DM,7+,2,male:single,none,4,car or other,29,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Existing Credits,radio/television,5084,unknown/ no savings account,7+,2,female:divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee/official,1,yes,yes
... >= 200 DM ,15,Existing Credits,radio/television,2327,... < 100 DM,1,2,female:divorced/separated/married,none,3,real estate,25,none,own,1,unskilled-resident,1,none,yes
...<0 DM,12,No Credits,new car,1082,... < 100 DM,4,4,male:single,none,4,car or other,48,bank,own,2,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,radio/television,886,unknown/ no savings account,4,4,female:divorced/separated/married,none,2,car or other,21,none,own,1,skilled employee/official,1,none,yes
no checking account,4,Existing Credits,furniture/equipment,601,... < 100 DM,1,1,female:divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled-resident,2,none,yes
...<0 DM,24,Critical,used car,2957,... < 100 DM,7+,4,male:single,none,4,life insurance,63,none,own,2,skilled employee/official,1,yes,yes
no checking account,24,Critical,radio/television,2611,... < 100 DM,7+,4,male:married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee/official,1,none,yes
...<0 DM,36,Existing Credits,furniture/equipment,5179,... < 100 DM,7,4,male:single,none,2,life insurance,29,none,own,1,skilled employee/official,1,none,yes
no checking account,21,Delay in Past,used car,2993,... < 100 DM,4,3,male:single,none,2,real estate,28,store,own,2,unskilled-resident,1,none,yes
no checking account,18,Existing Credits,repairs,1943,... < 100 DM,1,4,female:divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Paid Credits,business,1559,... < 100 DM,7,4,male:single,none,4,car or other,50,bank,own,1,skilled employee/official,1,yes,yes
no checking account,18,Existing Credits,furniture/equipment,3422,... < 100 DM,7+,4,male:single,none,4,life insurance,47,bank,own,3,skilled employee/official,2,yes,yes
0 <= ...<200 DM,21,Existing Credits,furniture/equipment,3976,unknown/ no savings account,7,2,male:single,none,3,car or other,35,none,own,1,skilled employee/official,1,yes,yes
no checking account,18,Existing Credits,new car,6761,unknown/ no savings account,4,2,male:single,none,4,car or other,68,none,rent,2,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,new car,1249,... < 100 DM,1,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes
...<0 DM,9,Existing Credits,radio/television,1364,... < 100 DM,7,3,male:single,none,4,real estate,59,none,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,radio/television,709,... < 100 DM,7+,4,male:single,none,4,real estate,57,store,own,1,unskilled-resident,1,none,yes
...<0 DM,20,Critical,new car,2235,... < 100 DM,4,4,male:married/widowed,guarantor,2,life insurance,33,bank,rent,2,skilled employee/official,1,none,no
no checking account,24,Critical,used car,4042,unknown/ no savings account,7,3,male:single,none,4,life insurance,43,none,own,2,skilled employee/official,1,yes,yes
no checking account,15,Critical,radio/television,1471,... < 100 DM,4,4,male:single,none,4,no property,35,none,free,2,skilled employee/official,1,yes,yes
...<0 DM,18,Paid Credits,new car,1442,... < 100 DM,7,4,male:single,none,4,no property,32,none,free,2,unskilled-resident,2,none,yes
no checking account,36,Delay in Past,new car,10875,... < 100 DM,7+,2,male:single,none,2,car or other,45,none,own,2,skilled employee/official,2,yes,yes
no checking account,24,Existing Credits,new car,1474,100 <= ... < 500 DM,1,4,male:married/widowed,none,3,real estate,33,none,own,1,skilled employee/official,1,yes,yes
no checking account,10,Existing Credits,retraining,894,unknown/ no savings account,7,4,female:divorced/separated/married,none,3,life insurance,40,none,own,1,skilled employee/official,1,yes,yes
no checking account,15,Critical,furniture/equipment,3343,... < 100 DM,4,4,male:single,none,2,no property,28,none,free,1,skilled employee/official,1,yes,yes
...<0 DM,15,Existing Credits,new car,3959,... < 100 DM,4,3,female:divorced/separated/married,none,2,life insurance,29,none,own,1,skilled employee/official,1,yes,yes
no checking account,9,Existing Credits,new car,3577,100 <= ... < 500 DM,4,1,male:single,guarantor,2,real estate,26,none,rent,1,skilled employee/official,2,none,no
no checking account,24,Critical,used car,5804,.. >= 1000 DM,4,4,male:single,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Delay in Past,business,2169,... < 100 DM,4,4,male:married/widowed,none,2,car or other,28,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Existing Credits,radio/television,2439,... < 100 DM,1,4,female:divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee/official,1,yes,yes
no checking account,27,Critical,furniture/equipment,4526,.. >= 1000 DM,1,4,male:single,none,2,real estate,32,store,own,2,unskilled-resident,2,yes,yes
no checking account,10,Existing Credits,furniture/equipment,2210,... < 100 DM,4,2,male:single,none,2,real estate,25,bank,rent,1,unskilled-resident,1,none,yes
no checking account,15,Existing Credits,furniture/equipment,2221,500 <= ... < 1000 DM,4,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,18,Existing Credits,radio/television,2389,... < 100 DM,1,4,female:divorced/separated/married,none,1,car or other,27,store,own,1,skilled employee/official,1,none,yes
no checking account,12,Critical,furniture/equipment,3331,... < 100 DM,7+,2,male:single,none,4,life insurance,42,store,own,1,skilled employee/official,1,none,yes
no checking account,36,Existing Credits,business,7409,unknown/ no savings account,7+,3,male:single,none,2,life insurance,37,none,own,2,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,652,... < 100 DM,7+,4,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,skilled employee/official,1,none,yes
no checking account,36,Delay in Past,furniture/equipment,7678,500 <= ... < 1000 DM,7,2,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee/official,1,yes,yes
... >= 200 DM ,6,Critical,new car,1343,... < 100 DM,7+,1,male:single,none,4,real estate,46,none,own,2,skilled employee/official,2,none,no
...<0 DM,24,Critical,business,1382,100 <= ... < 500 DM,7,4,male:single,none,1,real estate,26,none,own,2,skilled employee/official,1,yes,yes
no checking account,15,Existing Credits,domestic appliances,874,unknown/ no savings account,1,4,female:divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,3590,... < 100 DM,4,2,male:single,co-applicant,2,life insurance,29,none,own,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,11,Critical,new car,1322,.. >= 1000 DM,4,4,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee/official,1,none,yes
...<0 DM,18,Paid Credits,radio/television,1940,... < 100 DM,1,3,male:single,co-applicant,4,no property,36,bank,free,1,highly skilled,1,yes,yes
no checking account,36,Existing Credits,radio/television,3595,... < 100 DM,7+,4,male:single,none,2,car or other,28,none,own,1,skilled employee/official,1,none,yes
...<0 DM,9,Existing Credits,new car,1422,... < 100 DM,1,3,male:single,none,2,no property,27,none,free,1,highly skilled,1,yes,yes
no checking account,30,Critical,radio/television,6742,unknown/ no savings account,7,2,male:single,none,3,life insurance,36,none,own,2,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,used car,7814,... < 100 DM,7,3,male:single,none,3,car or other,38,none,own,1,highly skilled,1,yes,yes
no checking account,24,Existing Credits,used car,9277,unknown/ no savings account,4,2,male:divorced/separated,none,4,no property,48,none,free,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,30,Critical,new car,2181,unknown/ no savings account,7+,4,male:single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Critical,radio/television,1098,... < 100 DM,unemployed,4,female:divorced/separated/married,none,4,car or other,65,none,own,2,unemployed/unskilled-non resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,furniture/equipment,4057,... < 100 DM,7,3,male:divorced/separated,none,3,car or other,43,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,education,795,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,53,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Critical,business,2825,unknown/ no savings account,7,4,male:single,none,3,no property,34,none,own,2,skilled employee/official,2,yes,yes
0 <= ...<200 DM,48,Existing Credits,business,15672,... < 100 DM,4,2,male:single,none,2,car or other,23,none,own,1,skilled employee/official,1,yes,yes
no checking account,36,Critical,new car,6614,... < 100 DM,7+,4,male:single,none,4,car or other,34,none,own,2,highly skilled,1,yes,yes
no checking account,28,Paid Credits,used car,7824,unknown/ no savings account,1,3,male:single,guarantor,4,real estate,40,bank,rent,2,skilled employee/official,2,yes,yes
...<0 DM,27,Critical,business,2442,... < 100 DM,7+,4,male:single,none,4,car or other,43,store,own,4,highly skilled,2,yes,yes
no checking account,15,Critical,radio/television,1829,... < 100 DM,7+,4,male:single,none,4,car or other,46,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,12,Critical,new car,2171,... < 100 DM,4,4,male:single,none,4,life insurance,38,bank,own,2,unskilled-resident,1,none,no
0 <= ...<200 DM,36,Critical,used car,5800,... < 100 DM,4,3,male:single,none,4,car or other,34,none,own,2,skilled employee/official,1,yes,yes
no checking account,18,Critical,radio/television,1169,unknown/ no savings account,4,4,male:single,none,3,life insurance,29,none,own,2,skilled employee/official,1,yes,yes
no checking account,36,Delay in Past,used car,8947,unknown/ no savings account,7,3,male:single,none,2,car or other,31,store,own,1,highly skilled,2,yes,yes
...<0 DM,21,Existing Credits,radio/television,2606,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,28,none,rent,1,highly skilled,1,yes,yes
no checking account,12,Critical,furniture/equipment,1592,.. >= 1000 DM,7,3,female:divorced/separated/married,none,2,life insurance,35,none,own,1,skilled employee/official,1,none,no
no checking account,15,Existing Credits,furniture/equipment,2186,unknown/ no savings account,7,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled-resident,1,none,yes
...<0 DM,18,Existing Credits,furniture/equipment,4153,... < 100 DM,4,2,male:single,co-applicant,3,car or other,42,none,own,1,skilled employee/official,1,none,yes
...<0 DM,16,Critical,new car,2625,... < 100 DM,7+,2,male:single,guarantor,4,life insurance,43,bank,rent,1,skilled employee/official,1,yes,yes
no checking account,20,Critical,new car,3485,unknown/ no savings account,1,2,male:divorced/separated,none,4,real estate,44,none,own,2,skilled employee/official,1,yes,yes
no checking account,36,Critical,used car,10477,unknown/ no savings account,7+,2,male:single,none,4,no property,42,none,free,2,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,radio/television,1386,unknown/ no savings account,4,4,male:married/widowed,none,2,real estate,40,none,rent,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,radio/television,1278,... < 100 DM,7+,4,male:single,none,1,real estate,36,none,own,1,highly skilled,1,yes,yes
...<0 DM,12,Existing Credits,radio/television,1107,... < 100 DM,4,2,male:single,none,2,real estate,20,none,rent,1,highly skilled,2,yes,yes
...<0 DM,21,Existing Credits,new car,3763,unknown/ no savings account,7,2,male:single,co-applicant,2,real estate,24,none,own,1,unskilled-resident,1,none,no
0 <= ...<200 DM,36,Existing Credits,education,3711,unknown/ no savings account,4,2,male:married/widowed,none,2,car or other,27,none,own,1,skilled employee/official,1,none,yes
no checking account,15,Delay in Past,used car,3594,... < 100 DM,1,1,female:divorced/separated/married,none,2,life insurance,46,none,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,9,Existing Credits,new car,3195,unknown/ no savings account,4,1,female:divorced/separated/married,none,2,real estate,33,none,own,1,unskilled-resident,1,none,yes
no checking account,36,Delay in Past,radio/television,4454,... < 100 DM,4,4,female:divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Critical,furniture/equipment,4736,... < 100 DM,1,2,female:divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,30,Existing Credits,radio/television,2991,unknown/ no savings account,7+,2,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,none,yes
no checking account,11,Existing Credits,business,2142,.. >= 1000 DM,7+,1,male:divorced/separated,none,2,real estate,28,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Paid Credits,business,3161,... < 100 DM,4,4,male:single,none,2,life insurance,31,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,48,No Credits,others,18424,... < 100 DM,4,1,female:divorced/separated/married,none,2,life insurance,32,bank,own,1,highly skilled,1,yes,no
